citizen_id,name,surname,sex,birthday,household_id,occupation_id,branch_id
78,Alasdair,ONEAL,m,1966-04-27,26,,
79,Kathleen,ONEAL,f,1991-08-30,26,,
80,Carolyn,THORNTON,f,1936-02-14,27,,
81,Timothy,THORNTON,m,1992-03-22,27,,
82,Mandy,THORNTON,f,2015-02-04,27,,
83,Joanne,THORNTON,f,2016-03-08,27,,
84,Miley,THORNTON,f,2011-07-13,27,,
85,Kylie,MORGAN,f,1947-03-09,28,,
86,Shay,MORGAN,m,1988-08-28,28,,
87,Helen,MORGAN,f,1998-10-24,28,,
88,Toni,MORGAN,f,1989-11-04,28,,
89,Miley,NOVAK,f,1964-06-19,29,,
90,Sharon,NOVAK,f,2016-01-18,29,,
91,Lily,NOVAK,f,2004-05-25,29,,
92,Aaron,NOVAK,m,1985-06-28,29,,
93,Heidi,MALONE,f,1983-07-27,30,,
94,Zak,MALONE,m,2009-08-11,30,,
95,Blake,MALONE,m,2012-02-17,30,,
96,Finley,SHANNON,m,1996-09-24,31,,
97,Amelia,SHANNON,f,1983-03-31,31,,
98,Angela,SHANNON,f,2016-03-04,31,,
99,Finley,ROCHA,m,1947-04-15,32,,
100,Alan,ROCHA,m,1994-01-22,32,,
101,Aila,ROCHA,f,2010-04-05,32,,
102,Eve,PACE,f,1993-08-28,33,,
103,Allison,PACE,f,2019-08-17,33,,
104,Faith,HAHN,f,1969-07-13,34,,
105,Melissa,MURILLO,f,1993-07-01,34,,
106,Ivy,BALDWIN,f,1960-08-11,34,,
107,Stacey,BRIGGS,f,1960-05-18,35,,
108,Joanne,DURHAM,f,1934-12-04,35,,
109,Daniel,ENRIQUEZ,m,1950-03-05,35,,
110,Greg,HARRELL,m,1965-11-06,36,,
111,Willow,JAMES,f,1983-09-18,36,,
112,Sienna,JENSEN,f,1951-01-24,37,,
113,Brandon,GREER,m,1958-05-19,37,,
114,Denise,HOWELL,f,1969-11-10,37,,
115,Justin,JENSEN,m,1953-01-17,37,,
116,Ailsa,BRADSHAW,f,1961-09-29,38,,
117,Charles,CASTRO,m,1946-08-28,38,,
118,Beth,COPELAND,f,1956-06-24,38,,
119,Louis,MEDINA,m,1934-02-21,38,,
120,Louise,LU,f,1944-04-14,39,,
121,Bryan,ESTES,m,1999-10-24,39,,
122,Evan,ARIAS,m,1948-01-28,39,,
123,Victoria,MCDANIEL,f,1931-02-23,39,,
124,Alex,WRIGHT,m,1940-11-28,40,,
125,Arthur,LUGO,m,1971-02-04,40,,
